"GeneID","Female1","Female2","Female3","Female4","Labium1","Labium2","Labium3","Labium4","Male1","Male2","Male3","Male4"
"gene15716",0,0,0,0,1.23271794711874,9.97925316879899,12.4091520908831,14.2513612346952,0,0,3.22766879198895,0
"gene15717",159.922437363334,121.573890490127,44.9630698389464,218.067141996102,222.305472905076,259.312319198837,245.489954518887,259.479386383396,24.2991853887131,74.2472847725106,176.953797687555,346.72809184663
"gene15718",42.9388181505007,74.950881819634,5.50816383358345,6.65545382774956,52.339308852985,38.7677989907312,37.7028214802133,48.9035515234001,0,0,17.7788808898957,3.12591284776746
"gene15719",92.1564967267657,15.1629338851645,50.6832713484452,16.100756457459,29.7238921800331,36.1050559354669,36.3237970182212,52.6853210621271,0,3.02166520422652,82.1780777549816,4.01289074182847
"gene15722",2.64935894096966,0,32.0663796306809,55.7613610515055,14.684290340921,32.0691964443007,42.2945096144382,49.247653192442,0,0,0,0
"gene15726",30.59179764842,38.6378819734548,4.22941717295339,0,15.2904833962238,22.6626136957552,20.0480510013059,36.2064498829699,0.417037172613599,51.0755036245228,27.4100950296615,58.318589632409
"gene15727",20.5356395449383,0,84.4777610745798,0,4.49610674906104,13.6490430437767,26.0122282118287,10.4240812217648,0,0,0,0
"gene15728",7.46346461343746,0,13.0746086767329,0.637494314440476,0,6.39154583620962,9.33009149720409,8.33404179914136,0,0,0,0
"gene15729",0,0,0,27.7809837412751,14.1750406936928,0.125183530874875,6.85264856266545,9.91032400755884,15.3767034428904,0,0,108.63199964547
"gene15730",0,0,0,0,0.327488978432548,0,0,0,0,1.17446093255337,0,0
"gene15731",19.4350184295719,0,0,0,0,0.274753463868232,1.39261376514004,2.55896830752857,0,0,0,0
"gene15732",0,0,0,74.8242399422427,10.9859433269435,3.51553987002913,5.60020823299045,7.95178519775641,0,0.463511287921659,0,0
"gene15733",0,0,0,0,0,0,0,0,0,0,0,0
"gene15734",6.99787897627792,0,0,0,0,10.2490686554579,2.38681691465573,5.15981825675154,0.680500918323662,0,0,0
"gene15735",45.3413423080058,51.2975331431084,75.0620640623381,77.3820154793177,41.6170575849569,40.7959670911059,41.7747839932498,40.6917637905307,0,0,81.4237277464411,70.3707728378277
"gene15736",12.8511562623308,46.8965224948898,0,0.0920639694938035,6.61321984195987,14.6209120772603,8.23416306508632,16.8498907928539,0,0,0,0
"gene15737",137.740801755892,12.5732133828471,145.224680268409,179.854687893519,76.5884627010775,88.0317474165731,78.300409925082,64.5340893447605,0,0,117.966961905864,494.047255289983
"gene15738",21.9048045373884,15.7753360276928,22.5919923304088,133.618999173285,42.2519612533393,15.4552936501687,17.2083698547484,21.001927917956,149.384213567338,0,0,258.728470194169
"gene15739",56.1759168174837,47.8623080057352,42.4398386367833,66.2647379583925,29.8014970373618,35.4827227759093,31.3040028947129,34.9833414729572,0,49.3273591672418,20.7080434601817,16.5331433809009
